"date","source","date_start","date_end","region","sub_region_1","cases","deaths_up_to_2022-03-31","deaths_after_2022-04-01","deaths","hosp_admissions","icu_admissions"
"2023-11-30","https://bccdc.shinyapps.io/respiratory_covid_sitrep/","2020-01-01","2020-01-01","BC",,0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-01","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-01","BC","Interior Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-01","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-01","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-01","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-01","BC","Vancouver Coastal Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-02","BC",,0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-02","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-02","BC","Interior Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-02","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-02","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-02","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-02","BC","Vancouver Coastal Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-03","BC",,0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-03","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-03","BC","Interior Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-03","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-03","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-03","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-03","BC","Vancouver Coastal Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-04","BC",,0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-04","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-04","BC","Interior Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-04","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-04","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-04","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-04","BC","Vancouver Coastal Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-05","BC",,0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-05","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-05","BC","Interior Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-05","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-05","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-05","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-05","BC","Vancouver Coastal Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-06","BC",,0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-06","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-06","BC","Interior Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-06","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-06","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-06","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-06","BC","Vancouver Coastal Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-07","BC",,0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-07","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-07","BC","Interior Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-07","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-07","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-07","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-07","BC","Vancouver Coastal Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-08","BC",,0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-08","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-08","BC","Interior Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-08","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-08","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-08","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-08","BC","Vancouver Coastal Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-09","BC",,0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-09","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-09","BC","Interior Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-09","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-09","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-09","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-09","BC","Vancouver Coastal Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-10","BC",,0,0,0,0,2,0
"2023-11-30",,"2020-01-01","2020-01-10","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-10","BC","Interior Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-10","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-10","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-10","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-10","BC","Vancouver Coastal Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-11","BC",,0,0,0,0,2,0
"2023-11-30",,"2020-01-01","2020-01-11","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-11","BC","Interior Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-11","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-11","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-11","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-11","BC","Vancouver Coastal Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-12","BC",,0,0,0,0,2,0
"2023-11-30",,"2020-01-01","2020-01-12","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-12","BC","Interior Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-12","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-12","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-12","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-12","BC","Vancouver Coastal Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-13","BC",,0,0,0,0,2,0
"2023-11-30",,"2020-01-01","2020-01-13","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-13","BC","Interior Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-13","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-13","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-13","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-13","BC","Vancouver Coastal Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-14","BC",,0,0,0,0,2,0
"2023-11-30",,"2020-01-01","2020-01-14","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-14","BC","Interior Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-14","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-14","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-14","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-14","BC","Vancouver Coastal Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-15","BC",,0,0,0,0,3,0
"2023-11-30",,"2020-01-01","2020-01-15","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-15","BC","Interior Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-15","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-15","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-15","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-15","BC","Vancouver Coastal Health",0,0,0,0,2,0
"2023-11-30",,"2020-01-01","2020-01-16","BC",,0,0,0,0,3,0
"2023-11-30",,"2020-01-01","2020-01-16","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-16","BC","Interior Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-16","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-16","BC","Northern Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-16","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-16","BC","Vancouver Coastal Health",0,0,0,0,2,0
"2023-11-30",,"2020-01-01","2020-01-17","BC",,0,0,0,0,4,0
"2023-11-30",,"2020-01-01","2020-01-17","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-17","BC","Interior Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-17","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-17","BC","Northern Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-17","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-17","BC","Vancouver Coastal Health",0,0,0,0,2,0
"2023-11-30",,"2020-01-01","2020-01-18","BC",,0,0,0,0,4,0
"2023-11-30",,"2020-01-01","2020-01-18","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-18","BC","Interior Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-18","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-18","BC","Northern Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-18","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-18","BC","Vancouver Coastal Health",0,0,0,0,2,0
"2023-11-30",,"2020-01-01","2020-01-19","BC",,0,0,0,0,4,0
"2023-11-30",,"2020-01-01","2020-01-19","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-19","BC","Interior Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-19","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-19","BC","Northern Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-19","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-19","BC","Vancouver Coastal Health",0,0,0,0,2,0
"2023-11-30",,"2020-01-01","2020-01-20","BC",,0,0,0,0,4,0
"2023-11-30",,"2020-01-01","2020-01-20","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-20","BC","Interior Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-20","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-20","BC","Northern Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-20","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-20","BC","Vancouver Coastal Health",0,0,0,0,2,0
"2023-11-30",,"2020-01-01","2020-01-21","BC",,0,0,0,0,4,0
"2023-11-30",,"2020-01-01","2020-01-21","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-21","BC","Interior Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-21","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-21","BC","Northern Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-21","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-21","BC","Vancouver Coastal Health",0,0,0,0,2,0
"2023-11-30",,"2020-01-01","2020-01-22","BC",,0,0,0,0,4,0
"2023-11-30",,"2020-01-01","2020-01-22","BC","Fraser Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-22","BC","Interior Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-22","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-22","BC","Northern Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-22","BC","Out of Canada",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-22","BC","Vancouver Coastal Health",0,0,0,0,2,0
"2023-11-30",,"2020-01-01","2020-01-23","BC",,0,0,0,0,5,0
"2023-11-30",,"2020-01-01","2020-01-23","BC","Fraser Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-23","BC","Interior Health",0,0,0,0,1,0
"2023-11-30",,"2020-01-01","2020-01-23","BC","Island Health",0,0,0,0,0,0
"2023-11-30",,"2020-01-01","2020-01-23","BC","Northern Health",0,0,0,0,1,0
