"date_start","date_end","region","sub_region_1","dose_weekly_type","dose_weekly_value"
"2020-12-13","2020-12-19","ON",,"Dose 1",2990
"2020-12-13","2020-12-19","ON",,"Dose 2",0
"2020-12-13","2020-12-19","ON",,"Dose 3",0
"2020-12-13","2020-12-19","ON",,"Dose 4",0
"2020-12-13","2020-12-19","ON",,"Dose 5",0
"2020-12-13","2020-12-19","ON",,"Dose 6",0
"2020-12-13","2020-12-19","ON",,"Dose 7",0
"2020-12-13","2020-12-19","ON",,"Dose 8",0
"2020-12-20","2020-12-26","ON",,"Dose 1",8115
"2020-12-20","2020-12-26","ON",,"Dose 2",0
"2020-12-20","2020-12-26","ON",,"Dose 3",0
"2020-12-20","2020-12-26","ON",,"Dose 4",0
"2020-12-20","2020-12-26","ON",,"Dose 5",0
"2020-12-20","2020-12-26","ON",,"Dose 6",0
"2020-12-20","2020-12-26","ON",,"Dose 7",0
"2020-12-20","2020-12-26","ON",,"Dose 8",0
"2020-12-27","2021-01-02","ON",,"Dose 1",28193
"2020-12-27","2021-01-02","ON",,"Dose 2",0
"2020-12-27","2021-01-02","ON",,"Dose 3",0
"2020-12-27","2021-01-02","ON",,"Dose 4",0
"2020-12-27","2021-01-02","ON",,"Dose 5",0
"2020-12-27","2021-01-02","ON",,"Dose 6",0
"2020-12-27","2021-01-02","ON",,"Dose 7",0
"2020-12-27","2021-01-02","ON",,"Dose 8",0
"2021-01-03","2021-01-09","ON",,"Dose 1",87700
"2021-01-03","2021-01-09","ON",,"Dose 2",2946
"2021-01-03","2021-01-09","ON",,"Dose 3",0
"2021-01-03","2021-01-09","ON",,"Dose 4",0
"2021-01-03","2021-01-09","ON",,"Dose 5",0
"2021-01-03","2021-01-09","ON",,"Dose 6",0
"2021-01-03","2021-01-09","ON",,"Dose 7",0
"2021-01-03","2021-01-09","ON",,"Dose 8",0
"2021-01-10","2021-01-16","ON",,"Dose 1",97082
"2021-01-10","2021-01-16","ON",,"Dose 2",7929
"2021-01-10","2021-01-16","ON",,"Dose 3",0
"2021-01-10","2021-01-16","ON",,"Dose 4",0
"2021-01-10","2021-01-16","ON",,"Dose 5",0
"2021-01-10","2021-01-16","ON",,"Dose 6",0
"2021-01-10","2021-01-16","ON",,"Dose 7",0
"2021-01-10","2021-01-16","ON",,"Dose 8",0
"2021-01-17","2021-01-23","ON",,"Dose 1",36566
"2021-01-17","2021-01-23","ON",,"Dose 2",20572
"2021-01-17","2021-01-23","ON",,"Dose 3",0
"2021-01-17","2021-01-23","ON",,"Dose 4",0
"2021-01-17","2021-01-23","ON",,"Dose 5",0
"2021-01-17","2021-01-23","ON",,"Dose 6",0
"2021-01-17","2021-01-23","ON",,"Dose 7",0
"2021-01-17","2021-01-23","ON",,"Dose 8",0
"2021-01-24","2021-01-30","ON",,"Dose 1",16889
"2021-01-24","2021-01-30","ON",,"Dose 2",39425
"2021-01-24","2021-01-30","ON",,"Dose 3",0
"2021-01-24","2021-01-30","ON",,"Dose 4",0
"2021-01-24","2021-01-30","ON",,"Dose 5",0
"2021-01-24","2021-01-30","ON",,"Dose 6",0
"2021-01-24","2021-01-30","ON",,"Dose 7",0
"2021-01-24","2021-01-30","ON",,"Dose 8",0
"2021-01-31","2021-02-06","ON",,"Dose 1",7066
