"date_start","date_end","region","sub_region_1","outcome_weekly_type","outcome_weekly_value"
"2020-01-05","2020-01-11","ON",,"COVID-19 hospitalizations",0
"2020-01-05","2020-01-11","ON",,"COVID-19 deaths",0
"2020-01-12","2020-01-18","ON",,"COVID-19 hospitalizations",0
"2020-01-12","2020-01-18","ON",,"COVID-19 deaths",0
"2020-01-19","2020-01-25","ON",,"COVID-19 hospitalizations",5
"2020-01-19","2020-01-25","ON",,"COVID-19 deaths",0
"2020-01-26","2020-02-01","ON",,"COVID-19 hospitalizations",6
"2020-01-26","2020-02-01","ON",,"COVID-19 deaths",0
"2020-02-02","2020-02-08","ON",,"COVID-19 hospitalizations",5
"2020-02-02","2020-02-08","ON",,"COVID-19 deaths",0
"2020-02-09","2020-02-15","ON",,"COVID-19 hospitalizations",9
"2020-02-09","2020-02-15","ON",,"COVID-19 deaths",0
"2020-02-16","2020-02-22","ON",,"COVID-19 hospitalizations",6
"2020-02-16","2020-02-22","ON",,"COVID-19 deaths",0
"2020-02-23","2020-02-29","ON",,"COVID-19 hospitalizations",7
"2020-02-23","2020-02-29","ON",,"COVID-19 deaths",0
"2020-03-01","2020-03-07","ON",,"COVID-19 hospitalizations",25
"2020-03-01","2020-03-07","ON",,"COVID-19 deaths",0
"2020-03-08","2020-03-14","ON",,"COVID-19 hospitalizations",32
"2020-03-08","2020-03-14","ON",,"COVID-19 deaths",1
"2020-03-15","2020-03-21","ON",,"COVID-19 hospitalizations",134
"2020-03-15","2020-03-21","ON",,"COVID-19 deaths",1
"2020-03-22","2020-03-28","ON",,"COVID-19 hospitalizations",377
"2020-03-22","2020-03-28","ON",,"COVID-19 deaths",27
"2020-03-29","2020-04-04","ON",,"COVID-19 hospitalizations",581
"2020-03-29","2020-04-04","ON",,"COVID-19 deaths",147
"2020-03-29","2020-04-04","ON",,"COVID-19 hospital bed occupancy",286
"2020-03-29","2020-04-04","ON",,"COVID-19 ICU bed occupancy",0
"2020-04-05","2020-04-11","ON",,"COVID-19 hospitalizations",534
"2020-04-05","2020-04-11","ON",,"COVID-19 deaths",254
"2020-04-05","2020-04-11","ON",,"COVID-19 hospital bed occupancy",665
"2020-04-05","2020-04-11","ON",,"COVID-19 ICU bed occupancy",0
"2020-04-12","2020-04-18","ON",,"COVID-19 hospitalizations",465
"2020-04-12","2020-04-18","ON",,"COVID-19 deaths",369
"2020-04-12","2020-04-18","ON",,"COVID-19 hospital bed occupancy",793
"2020-04-12","2020-04-18","ON",,"COVID-19 ICU bed occupancy",0
"2020-04-19","2020-04-25","ON",,"COVID-19 hospitalizations",519
"2020-04-19","2020-04-25","ON",,"COVID-19 deaths",467
"2020-04-19","2020-04-25","ON",,"COVID-19 hospital bed occupancy",901
"2020-04-19","2020-04-25","ON",,"COVID-19 ICU bed occupancy",0
"2020-04-26","2020-05-02","ON",,"COVID-19 hospitalizations",461
"2020-04-26","2020-05-02","ON",,"COVID-19 deaths",429
"2020-04-26","2020-05-02","ON",,"COVID-19 hospital bed occupancy",1001
"2020-04-26","2020-05-02","ON",,"COVID-19 ICU bed occupancy",69
"2020-05-03","2020-05-09","ON",,"COVID-19 hospitalizations",332
"2020-05-03","2020-05-09","ON",,"COVID-19 deaths",326
"2020-05-03","2020-05-09","ON",,"COVID-19 hospital bed occupancy",1047
"2020-05-03","2020-05-09","ON",,"COVID-19 ICU bed occupancy",231
"2020-05-10","2020-05-16","ON",,"COVID-19 hospitalizations",274
"2020-05-10","2020-05-16","ON",,"COVID-19 deaths",232
"2020-05-10","2020-05-16","ON",,"COVID-19 hospital bed occupancy",1020
"2020-05-10","2020-05-16","ON",,"COVID-19 ICU bed occupancy",202
"2020-05-17","2020-05-23","ON",,"COVID-19 hospitalizations",214
"2020-05-17","2020-05-23","ON",,"COVID-19 deaths",168
"2020-05-17","2020-05-23","ON",,"COVID-19 hospital bed occupancy",944
"2020-05-17","2020-05-23","ON",,"COVID-19 ICU bed occupancy",182
"2020-05-24","2020-05-30","ON",,"COVID-19 hospitalizations",230
"2020-05-24","2020-05-30","ON",,"COVID-19 deaths",184
"2020-05-24","2020-05-30","ON",,"COVID-19 hospital bed occupancy",819
"2020-05-24","2020-05-30","ON",,"COVID-19 ICU bed occupancy",165
"2020-05-31","2020-06-06","ON",,"COVID-19 hospitalizations",158
"2020-05-31","2020-06-06","ON",,"COVID-19 deaths",92
"2020-05-31","2020-06-06","ON",,"COVID-19 hospital bed occupancy",720
"2020-05-31","2020-06-06","ON",,"COVID-19 ICU bed occupancy",153
"2020-06-07","2020-06-13","ON",,"COVID-19 hospitalizations",122
"2020-06-07","2020-06-13","ON",,"COVID-19 deaths",59
