"name","region","sub_region_1","date","value_daily"
"cases","AB","Calgary Zone","2019-08-31",0
"cases","AB","Calgary Zone","2019-09-07",0
"cases","AB","Calgary Zone","2019-09-14",0
"cases","AB","Calgary Zone","2019-09-21",0
"cases","AB","Calgary Zone","2019-09-28",0
"cases","AB","Calgary Zone","2019-10-05",0
"cases","AB","Calgary Zone","2019-10-12",0
"cases","AB","Calgary Zone","2019-10-19",0
"cases","AB","Calgary Zone","2019-10-26",0
"cases","AB","Calgary Zone","2019-11-02",0
"cases","AB","Calgary Zone","2019-11-09",0
"cases","AB","Calgary Zone","2019-11-16",0
"cases","AB","Calgary Zone","2019-11-23",0
"cases","AB","Calgary Zone","2019-11-30",0
"cases","AB","Calgary Zone","2019-12-07",0
"cases","AB","Calgary Zone","2019-12-14",0
"cases","AB","Calgary Zone","2019-12-21",0
"cases","AB","Calgary Zone","2019-12-28",0
"cases","AB","Calgary Zone","2020-01-04",0
"cases","AB","Calgary Zone","2020-01-11",0
"cases","AB","Calgary Zone","2020-01-18",0
"cases","AB","Calgary Zone","2020-01-25",0
"cases","AB","Calgary Zone","2020-02-01",0
"cases","AB","Calgary Zone","2020-02-08",0
"cases","AB","Calgary Zone","2020-02-15",0
"cases","AB","Calgary Zone","2020-02-22",0
"cases","AB","Calgary Zone","2020-02-29",1
"cases","AB","Calgary Zone","2020-03-07",5
"cases","AB","Calgary Zone","2020-03-14",72
"cases","AB","Calgary Zone","2020-03-21",198
"cases","AB","Calgary Zone","2020-03-28",340
"cases","AB","Calgary Zone","2020-04-04",209
"cases","AB","Calgary Zone","2020-04-11",258
"cases","AB","Calgary Zone","2020-04-18",873
"cases","AB","Calgary Zone","2020-04-25",1121
"cases","AB","Calgary Zone","2020-05-02",695
"cases","AB","Calgary Zone","2020-05-09",439
"cases","AB","Calgary Zone","2020-05-16",342
"cases","AB","Calgary Zone","2020-05-23",192
"cases","AB","Calgary Zone","2020-05-30",126
"cases","AB","Calgary Zone","2020-06-06",81
"cases","AB","Calgary Zone","2020-06-13",133
"cases","AB","Calgary Zone","2020-06-20",119
"cases","AB","Calgary Zone","2020-06-27",124
"cases","AB","Calgary Zone","2020-07-04",100
"cases","AB","Calgary Zone","2020-07-11",188
"cases","AB","Calgary Zone","2020-07-18",418
"cases","AB","Calgary Zone","2020-07-25",365
"cases","AB","Calgary Zone","2020-08-01",196
"cases","AB","Calgary Zone","2020-08-08",179
"cases","AB","Calgary Zone","2020-08-15",148
"cases","AB","Calgary Zone","2020-08-22",212
"cases","AB","Calgary Zone","2020-08-29",445
"cases","AB","Calgary Zone","2020-09-05",350
"cases","AB","Calgary Zone","2020-09-12",245
"cases","AB","Calgary Zone","2020-09-19",277
"cases","AB","Calgary Zone","2020-09-26",397
"cases","AB","Calgary Zone","2020-10-03",377
"cases","AB","Calgary Zone","2020-10-10",500
"cases","AB","Calgary Zone","2020-10-17",687
"cases","AB","Calgary Zone","2020-10-24",1002
"cases","AB","Calgary Zone","2020-10-31",1639
"cases","AB","Calgary Zone","2020-11-07",2048
"cases","AB","Calgary Zone","2020-11-14",2333
"cases","AB","Calgary Zone","2020-11-21",3106
"cases","AB","Calgary Zone","2020-11-28",3812
"cases","AB","Calgary Zone","2020-12-05",4161
"cases","AB","Calgary Zone","2020-12-12",3862
"cases","AB","Calgary Zone","2020-12-19",3287
"cases","AB","Calgary Zone","2020-12-26",2310
"cases","AB","Calgary Zone","2021-01-02",2480
"cases","AB","Calgary Zone","2021-01-09",2538
"cases","AB","Calgary Zone","2021-01-16",1940
"cases","AB","Calgary Zone","2021-01-23",1588
"cases","AB","Calgary Zone","2021-01-30",1263
"cases","AB","Calgary Zone","2021-02-06",1029
"cases","AB","Calgary Zone","2021-02-13",779
"cases","AB","Calgary Zone","2021-02-20",762
"cases","AB","Calgary Zone","2021-02-27",825
"cases","AB","Calgary Zone","2021-03-06",787
"cases","AB","Calgary Zone","2021-03-13",997
"cases","AB","Calgary Zone","2021-03-20",1593
"cases","AB","Calgary Zone","2021-03-27",2143
"cases","AB","Calgary Zone","2021-04-03",2991
"cases","AB","Calgary Zone","2021-04-10",4024
"cases","AB","Calgary Zone","2021-04-17",4398
"cases","AB","Calgary Zone","2021-04-24",4845
"cases","AB","Calgary Zone","2021-05-01",5614
"cases","AB","Calgary Zone","2021-05-08",6292
"cases","AB","Calgary Zone","2021-05-15",4299
"cases","AB","Calgary Zone","2021-05-22",2059
"cases","AB","Calgary Zone","2021-05-29",1222
"cases","AB","Calgary Zone","2021-06-05",751
"cases","AB","Calgary Zone","2021-06-12",550
"cases","AB","Calgary Zone","2021-06-19",439
"cases","AB","Calgary Zone","2021-06-26",255
"cases","AB","Calgary Zone","2021-07-03",171
"cases","AB","Calgary Zone","2021-07-10",144
"cases","AB","Calgary Zone","2021-07-17",178
"cases","AB","Calgary Zone","2021-07-24",485
"cases","AB","Calgary Zone","2021-07-31",712
"cases","AB","Calgary Zone","2021-08-07",898
"cases","AB","Calgary Zone","2021-08-14",1120
"cases","AB","Calgary Zone","2021-08-21",1324
"cases","AB","Calgary Zone","2021-08-28",1928
"cases","AB","Calgary Zone","2021-09-04",2422
"cases","AB","Calgary Zone","2021-09-11",2922
"cases","AB","Calgary Zone","2021-09-18",2889
"cases","AB","Calgary Zone","2021-09-25",2560
"cases","AB","Calgary Zone","2021-10-02",2473
"cases","AB","Calgary Zone","2021-10-09",1775
"cases","AB","Calgary Zone","2021-10-16",1383
"cases","AB","Calgary Zone","2021-10-23",1116
"cases","AB","Calgary Zone","2021-10-30",905
"cases","AB","Calgary Zone","2021-11-06",960
"cases","AB","Calgary Zone","2021-11-13",946
"cases","AB","Calgary Zone","2021-11-20",984
"cases","AB","Calgary Zone","2021-11-27",887
"cases","AB","Calgary Zone","2021-12-04",924
"cases","AB","Calgary Zone","2021-12-11",890
"cases","AB","Calgary Zone","2021-12-18",2040
"cases","AB","Calgary Zone","2021-12-25",6085
"cases","AB","Calgary Zone","2022-01-01",11350
"cases","AB","Calgary Zone","2022-01-08",18464
"cases","AB","Calgary Zone","2022-01-15",19235
"cases","AB","Calgary Zone","2022-01-22",10160
"cases","AB","Calgary Zone","2022-01-29",7513
"cases","AB","Calgary Zone","2022-02-05",5315
"cases","AB","Calgary Zone","2022-02-12",3076
"cases","AB","Calgary Zone","2022-02-19",1721
"cases","AB","Calgary Zone","2022-02-26",1274
"cases","AB","Calgary Zone","2022-03-05",1029
"cases","AB","Calgary Zone","2022-03-12",1143
"cases","AB","Calgary Zone","2022-03-19",1487
"cases","AB","Calgary Zone","2022-03-26",1696
"cases","AB","Calgary Zone","2022-04-02",2159
"cases","AB","Calgary Zone","2022-04-09",2435
"cases","AB","Calgary Zone","2022-04-16",2600
"cases","AB","Calgary Zone","2022-04-23",2674
"cases","AB","Calgary Zone","2022-04-30",2507
"cases","AB","Calgary Zone","2022-05-07",2048
"cases","AB","Calgary Zone","2022-05-14",1636
"cases","AB","Calgary Zone","2022-05-21",1360
"cases","AB","Calgary Zone","2022-05-28",1187
"cases","AB","Calgary Zone","2022-06-04",1019
"cases","AB","Calgary Zone","2022-06-11",719
"cases","AB","Calgary Zone","2022-06-18",483
"cases","AB","Calgary Zone","2022-06-25",417
"cases","AB","Calgary Zone","2022-07-02",475
"cases","AB","Calgary Zone","2022-07-09",568
"cases","AB","Calgary Zone","2022-07-16",724
"cases","AB","Calgary Zone","2022-07-23",957
"cases","AB","Calgary Zone","2022-07-30",805
"cases","AB","Calgary Zone","2022-08-06",743
"cases","AB","Calgary Zone","2022-08-13",568
"cases","AB","Calgary Zone","2022-08-20",514
"cases","AB","Calgary Zone","2022-08-27",429
"cases","AB","Calgary Zone","2022-09-03",366
"cases","AB","Calgary Zone","2022-09-10",324
"cases","AB","Calgary Zone","2022-09-17",411
"cases","AB","Calgary Zone","2022-09-24",411
"cases","AB","Calgary Zone","2022-10-01",434
"cases","AB","Calgary Zone","2022-10-08",430
"cases","AB","Calgary Zone","2022-10-15",411
"cases","AB","Calgary Zone","2022-10-22",523
"cases","AB","Calgary Zone","2022-10-29",496
"cases","AB","Calgary Zone","2022-11-05",590
"cases","AB","Calgary Zone","2022-11-12",563
"cases","AB","Calgary Zone","2022-11-19",569
"cases","AB","Calgary Zone","2022-11-26",553
"cases","AB","Calgary Zone","2022-12-03",420
"cases","AB","Calgary Zone","2022-12-10",381
"cases","AB","Calgary Zone","2022-12-17",341
"cases","AB","Calgary Zone","2022-12-24",274
"cases","AB","Calgary Zone","2022-12-31",264
"cases","AB","Calgary Zone","2023-01-07",312
"cases","AB","Calgary Zone","2023-01-14",228
"cases","AB","Calgary Zone","2023-01-21",159
"cases","AB","Calgary Zone","2023-01-28",147
"cases","AB","Calgary Zone","2023-02-04",157
"cases","AB","Calgary Zone","2023-02-11",133
"cases","AB","Calgary Zone","2023-02-18",108
"cases","AB","Calgary Zone","2023-02-25",128
"cases","AB","Calgary Zone","2023-03-04",105
"cases","AB","Calgary Zone","2023-03-11",115
"cases","AB","Calgary Zone","2023-03-18",121
"cases","AB","Calgary Zone","2023-03-25",125
"cases","AB","Calgary Zone","2023-04-01",145
"cases","AB","Calgary Zone","2023-04-08",128
"cases","AB","Calgary Zone","2023-04-15",117
"cases","AB","Calgary Zone","2023-04-22",155
"cases","AB","Calgary Zone","2023-04-29",144
"cases","AB","Calgary Zone","2023-05-06",137
"cases","AB","Calgary Zone","2023-05-13",109
"cases","AB","Calgary Zone","2023-05-20",90
"cases","AB","Calgary Zone","2023-05-27",56
"cases","AB","Calgary Zone","2023-06-03",52
"cases","AB","Calgary Zone","2023-06-10",38
"cases","AB","Calgary Zone","2023-06-17",37
"cases","AB","Calgary Zone","2023-06-24",41
"cases","AB","Calgary Zone","2023-07-01",50
"cases","AB","Calgary Zone","2023-07-08",28
"cases","AB","Calgary Zone","2023-07-15",22
"cases","AB","Calgary Zone","2023-07-22",54
"cases","AB","Calgary Zone","2023-07-29",66
"cases","AB","Calgary Zone","2023-08-05",72
"cases","AB","Calgary Zone","2023-08-12",83
"cases","AB","Calgary Zone","2023-08-19",70
"cases","AB","Calgary Zone","2023-08-26",90
"cases","AB","Calgary Zone","2023-09-02",95
"cases","AB","Calgary Zone","2023-09-09",140
"cases","AB","Calgary Zone","2023-09-16",208
"cases","AB","Calgary Zone","2023-09-23",170
"cases","AB","Calgary Zone","2023-09-30",225
"cases","AB","Calgary Zone","2023-10-07",291
"cases","AB","Calgary Zone","2023-10-14",275
"cases","AB","Central Zone","2019-08-31",0
"cases","AB","Central Zone","2019-09-07",0
"cases","AB","Central Zone","2019-09-14",0
"cases","AB","Central Zone","2019-09-21",0
"cases","AB","Central Zone","2019-09-28",0
"cases","AB","Central Zone","2019-10-05",0
"cases","AB","Central Zone","2019-10-12",0
"cases","AB","Central Zone","2019-10-19",0
"cases","AB","Central Zone","2019-10-26",0
"cases","AB","Central Zone","2019-11-02",0
"cases","AB","Central Zone","2019-11-09",0
"cases","AB","Central Zone","2019-11-16",0
"cases","AB","Central Zone","2019-11-23",0
"cases","AB","Central Zone","2019-11-30",0
"cases","AB","Central Zone","2019-12-07",0
"cases","AB","Central Zone","2019-12-14",0
"cases","AB","Central Zone","2019-12-21",0
"cases","AB","Central Zone","2019-12-28",0
"cases","AB","Central Zone","2020-01-04",0
"cases","AB","Central Zone","2020-01-11",0
"cases","AB","Central Zone","2020-01-18",0
"cases","AB","Central Zone","2020-01-25",0
"cases","AB","Central Zone","2020-02-01",0
"cases","AB","Central Zone","2020-02-08",0
"cases","AB","Central Zone","2020-02-15",0
"cases","AB","Central Zone","2020-02-22",0
"cases","AB","Central Zone","2020-02-29",0
"cases","AB","Central Zone","2020-03-07",0
"cases","AB","Central Zone","2020-03-14",3
"cases","AB","Central Zone","2020-03-21",24
"cases","AB","Central Zone","2020-03-28",24
"cases","AB","Central Zone","2020-04-04",12
"cases","AB","Central Zone","2020-04-11",7
"cases","AB","Central Zone","2020-04-18",3
"cases","AB","Central Zone","2020-04-25",6
"cases","AB","Central Zone","2020-05-02",1
"cases","AB","Central Zone","2020-05-09",7
"cases","AB","Central Zone","2020-05-16",2
"cases","AB","Central Zone","2020-05-23",0
"cases","AB","Central Zone","2020-05-30",0
"cases","AB","Central Zone","2020-06-06",0
"cases","AB","Central Zone","2020-06-13",1
"cases","AB","Central Zone","2020-06-20",1
"cases","AB","Central Zone","2020-06-27",3
"cases","AB","Central Zone","2020-07-04",8
"cases","AB","Central Zone","2020-07-11",48
"cases","AB","Central Zone","2020-07-18",105
"cases","AB","Central Zone","2020-07-25",141
"cases","AB","Central Zone","2020-08-01",90
"cases","AB","Central Zone","2020-08-08",59
"cases","AB","Central Zone","2020-08-15",17
"cases","AB","Central Zone","2020-08-22",14
"cases","AB","Central Zone","2020-08-29",18
"cases","AB","Central Zone","2020-09-05",44
"cases","AB","Central Zone","2020-09-12",13
"cases","AB","Central Zone","2020-09-19",14
"cases","AB","Central Zone","2020-09-26",6
"cases","AB","Central Zone","2020-10-03",27
"cases","AB","Central Zone","2020-10-10",92
"cases","AB","Central Zone","2020-10-17",68
"cases","AB","Central Zone","2020-10-24",97
"cases","AB","Central Zone","2020-10-31",144
"cases","AB","Central Zone","2020-11-07",189
"cases","AB","Central Zone","2020-11-14",301
"cases","AB","Central Zone","2020-11-21",605
"cases","AB","Central Zone","2020-11-28",773
"cases","AB","Central Zone","2020-12-05",920
"cases","AB","Central Zone","2020-12-12",899
"cases","AB","Central Zone","2020-12-19",815
"cases","AB","Central Zone","2020-12-26",771
"cases","AB","Central Zone","2021-01-02",827
"cases","AB","Central Zone","2021-01-09",697
"cases","AB","Central Zone","2021-01-16",432
"cases","AB","Central Zone","2021-01-23",317
"cases","AB","Central Zone","2021-01-30",336
"cases","AB","Central Zone","2021-02-06",309
"cases","AB","Central Zone","2021-02-13",336
"cases","AB","Central Zone","2021-02-20",390
"cases","AB","Central Zone","2021-02-27",299
"cases","AB","Central Zone","2021-03-06",223
"cases","AB","Central Zone","2021-03-13",273
"cases","AB","Central Zone","2021-03-20",318
"cases","AB","Central Zone","2021-03-27",421
"cases","AB","Central Zone","2021-04-03",495
"cases","AB","Central Zone","2021-04-10",859
"cases","AB","Central Zone","2021-04-17",1164
"cases","AB","Central Zone","2021-04-24",1295
"cases","AB","Central Zone","2021-05-01",1645
"cases","AB","Central Zone","2021-05-08",1329
"cases","AB","Central Zone","2021-05-15",1008
"cases","AB","Central Zone","2021-05-22",572
"cases","AB","Central Zone","2021-05-29",393
"cases","AB","Central Zone","2021-06-05",236
"cases","AB","Central Zone","2021-06-12",138
"cases","AB","Central Zone","2021-06-19",86
"cases","AB","Central Zone","2021-06-26",59
"cases","AB","Central Zone","2021-07-03",45
"cases","AB","Central Zone","2021-07-10",26
"cases","AB","Central Zone","2021-07-17",20
"cases","AB","Central Zone","2021-07-24",33
"cases","AB","Central Zone","2021-07-31",98
"cases","AB","Central Zone","2021-08-07",124
"cases","AB","Central Zone","2021-08-14",280
"cases","AB","Central Zone","2021-08-21",519
"cases","AB","Central Zone","2021-08-28",855
"cases","AB","Central Zone","2021-09-04",1345
"cases","AB","Central Zone","2021-09-11",1619
"cases","AB","Central Zone","2021-09-18",2064
"cases","AB","Central Zone","2021-09-25",2294
"cases","AB","Central Zone","2021-10-02",2203
"cases","AB","Central Zone","2021-10-09",1405
"cases","AB","Central Zone","2021-10-16",1087
"cases","AB","Central Zone","2021-10-23",891
"cases","AB","Central Zone","2021-10-30",656
"cases","AB","Central Zone","2021-11-06",560
"cases","AB","Central Zone","2021-11-13",439
"cases","AB","Central Zone","2021-11-20",429
"cases","AB","Central Zone","2021-11-27",288
"cases","AB","Central Zone","2021-12-04",262
"cases","AB","Central Zone","2021-12-11",278
"cases","AB","Central Zone","2021-12-18",220
"cases","AB","Central Zone","2021-12-25",402
"cases","AB","Central Zone","2022-01-01",1148
"cases","AB","Central Zone","2022-01-08",2284
"cases","AB","Central Zone","2022-01-15",2304
"cases","AB","Central Zone","2022-01-22",1872
"cases","AB","Central Zone","2022-01-29",2045
"cases","AB","Central Zone","2022-02-05",1612
"cases","AB","Central Zone","2022-02-12",1014
"cases","AB","Central Zone","2022-02-19",724
"cases","AB","Central Zone","2022-02-26",570
"cases","AB","Central Zone","2022-03-05",490
"cases","AB","Central Zone","2022-03-12",459
"cases","AB","Central Zone","2022-03-19",439
"cases","AB","Central Zone","2022-03-26",538
"cases","AB","Central Zone","2022-04-02",628
"cases","AB","Central Zone","2022-04-09",792
"cases","AB","Central Zone","2022-04-16",720
"cases","AB","Central Zone","2022-04-23",687
"cases","AB","Central Zone","2022-04-30",578
"cases","AB","Central Zone","2022-05-07",439
"cases","AB","Central Zone","2022-05-14",296
"cases","AB","Central Zone","2022-05-21",271
"cases","AB","Central Zone","2022-05-28",219
"cases","AB","Central Zone","2022-06-04",176
"cases","AB","Central Zone","2022-06-11",143
"cases","AB","Central Zone","2022-06-18",86
"cases","AB","Central Zone","2022-06-25",86
"cases","AB","Central Zone","2022-07-02",104
"cases","AB","Central Zone","2022-07-09",123
"cases","AB","Central Zone","2022-07-16",114
"cases","AB","Central Zone","2022-07-23",161
"cases","AB","Central Zone","2022-07-30",169
"cases","AB","Central Zone","2022-08-06",201
"cases","AB","Central Zone","2022-08-13",209
"cases","AB","Central Zone","2022-08-20",176
"cases","AB","Central Zone","2022-08-27",116
"cases","AB","Central Zone","2022-09-03",103
"cases","AB","Central Zone","2022-09-10",107
"cases","AB","Central Zone","2022-09-17",135
"cases","AB","Central Zone","2022-09-24",166
"cases","AB","Central Zone","2022-10-01",187
"cases","AB","Central Zone","2022-10-08",208
"cases","AB","Central Zone","2022-10-15",188
"cases","AB","Central Zone","2022-10-22",154
"cases","AB","Central Zone","2022-10-29",158
"cases","AB","Central Zone","2022-11-05",154
"cases","AB","Central Zone","2022-11-12",127
"cases","AB","Central Zone","2022-11-19",169
"cases","AB","Central Zone","2022-11-26",161
"cases","AB","Central Zone","2022-12-03",121
"cases","AB","Central Zone","2022-12-10",129
"cases","AB","Central Zone","2022-12-17",123
"cases","AB","Central Zone","2022-12-24",132
"cases","AB","Central Zone","2022-12-31",116
"cases","AB","Central Zone","2023-01-07",158
"cases","AB","Central Zone","2023-01-14",173
"cases","AB","Central Zone","2023-01-21",98
"cases","AB","Central Zone","2023-01-28",82
"cases","AB","Central Zone","2023-02-04",74
"cases","AB","Central Zone","2023-02-11",42
"cases","AB","Central Zone","2023-02-18",42
"cases","AB","Central Zone","2023-02-25",38
"cases","AB","Central Zone","2023-03-04",36
"cases","AB","Central Zone","2023-03-11",59
"cases","AB","Central Zone","2023-03-18",42
"cases","AB","Central Zone","2023-03-25",53
"cases","AB","Central Zone","2023-04-01",34
"cases","AB","Central Zone","2023-04-08",52
"cases","AB","Central Zone","2023-04-15",28
"cases","AB","Central Zone","2023-04-22",20
"cases","AB","Central Zone","2023-04-29",31
"cases","AB","Central Zone","2023-05-06",28
"cases","AB","Central Zone","2023-05-13",33
"cases","AB","Central Zone","2023-05-20",21
"cases","AB","Central Zone","2023-05-27",18
"cases","AB","Central Zone","2023-06-03",25
"cases","AB","Central Zone","2023-06-10",6
"cases","AB","Central Zone","2023-06-17",7
"cases","AB","Central Zone","2023-06-24",8
"cases","AB","Central Zone","2023-07-01",7
"cases","AB","Central Zone","2023-07-08",9
"cases","AB","Central Zone","2023-07-15",4
"cases","AB","Central Zone","2023-07-22",6
"cases","AB","Central Zone","2023-07-29",8
"cases","AB","Central Zone","2023-08-05",14
"cases","AB","Central Zone","2023-08-12",18
"cases","AB","Central Zone","2023-08-19",17
"cases","AB","Central Zone","2023-08-26",27
"cases","AB","Central Zone","2023-09-02",47
"cases","AB","Central Zone","2023-09-09",32
"cases","AB","Central Zone","2023-09-16",48
"cases","AB","Central Zone","2023-09-23",82
"cases","AB","Central Zone","2023-09-30",99
"cases","AB","Central Zone","2023-10-07",114
"cases","AB","Central Zone","2023-10-14",146
"cases","AB","Edmonton Zone","2019-08-31",0
"cases","AB","Edmonton Zone","2019-09-07",0
"cases","AB","Edmonton Zone","2019-09-14",0
"cases","AB","Edmonton Zone","2019-09-21",0
